Kreis71
Date:,2025/04/24
Time:,15:53:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,815.290833,475.007263,28.761175,755.558472,532.964233,30.363232,1095.555786,598.028320,336.324127,888.413513,534.678284,58.685623,1027.607788,616.266296,174.980621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,815.420837,475.017578,28.520075,756.141296,533.147156,30.838774,1095.689575,598.668640,335.536377,888.689697,534.857971,58.887737,1027.908813,617.029053,174.305054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,815.785828,475.005035,28.577394,757.003784,533.572632,31.673235,1096.103149,599.339844,334.885162,889.189941,534.966064,59.174450,1028.789307,617.554871,174.581039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,816.218872,474.962402,28.842434,757.893005,533.873047,33.391842,1096.942017,599.929138,334.206665,890.016785,535.087463,59.694225,1029.628418,617.949646,174.593704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,816.669861,474.925385,29.102119,758.453369,534.284607,35.110077,1097.755981,601.122192,333.890228,891.118591,535.091431,60.074886,1031.201050,617.853760,173.173141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,817.238770,474.906799,29.630417,759.128052,534.515259,37.076160,1098.465332,601.676392,333.799438,892.102112,535.040894,60.783596,1033.049561,617.900208,172.164139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,817.903381,474.667938,30.475855,760.050842,534.299072,39.198494,1099.441895,602.310730,333.379028,893.283875,535.231995,61.769001,1034.684814,618.351563,171.038971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,818.517334,474.310669,31.547604,761.480530,534.106689,40.962040,1100.676025,602.724976,332.965973,895.490356,536.986938,62.351158,1035.180054,619.237976,171.249908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,819.298096,474.186218,33.111897,763.471558,533.854675,42.845428,1101.827759,603.184082,332.751801,896.507446,536.063721,62.611824,1035.612793,620.081848,172.339844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,820.593933,473.912018,34.447205,765.207642,533.386658,44.282791,1102.613892,603.874573,332.303375,897.692444,535.532288,63.601242,1037.426880,620.580261,172.071350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,821.948425,473.904419,36.614029,767.487427,532.748169,45.907017,1103.098267,604.352173,331.753448,899.204956,535.607544,65.809196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,823.364807,474.023651,39.883057,770.236572,531.945435,47.621239,1103.709839,605.054382,331.432312,901.291321,535.405457,67.127121,,,,1040.718018,621.195374,171.385544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,824.979614,473.493408,43.071888,772.984558,531.155396,49.503609,1105.403320,605.801575,331.350769,903.392273,535.250610,68.085869,,,,1043.283569,621.509644,171.110168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,826.636780,473.093109,47.074253,776.626709,530.196655,51.415325,1107.064941,606.266357,331.180817,905.893738,535.005493,69.351357,,,,1045.333862,621.781311,170.830597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,828.008789,473.067749,51.645016,780.105225,529.111572,53.652737,1109.105469,606.541016,330.432373,908.036804,534.789917,70.561592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,830.076294,472.671631,55.833729,783.807800,527.678528,55.852173,1110.117310,607.069214,329.799225,910.711182,534.622925,72.157890,,,,,,,1049.678955,623.145386,170.064438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,832.182434,472.827393,59.956234,787.697510,526.494446,58.653820,1111.480957,607.345581,329.472534,913.355652,534.545471,74.327774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,834.378357,472.748138,64.419891,791.422974,525.305054,62.029182,1112.885498,607.917114,329.185486,916.033569,534.287354,75.964249,,,,,,,,,,1055.147827,623.772034,170.380615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,836.859619,472.786163,68.617477,795.281799,524.499451,65.214500,1114.651123,608.303467,328.850616,918.957642,534.387939,77.443451,,,,,,,,,,1057.526489,624.190857,170.408478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,839.502991,472.960480,72.637413,799.154663,524.002441,69.018654,1116.004395,608.909119,328.634308,921.978760,533.830933,78.521622,,,,,,,,,,1060.094727,624.941284,170.818146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,842.265259,473.351288,76.095551,802.991516,523.608643,73.244125,1118.034424,609.668945,328.219208,924.951111,533.623779,79.906952,,,,,,,,,,1063.267944,625.391052,170.439301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,845.142151,473.711151,79.551208,806.920044,523.314636,77.113373,1120.161499,609.915283,327.596893,927.747864,533.465149,81.755539,,,,,,,,,,1066.468872,625.763062,170.096588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,847.955872,473.991516,82.261917,811.186096,523.399658,80.578926,1121.997192,610.124756,327.278320,930.341675,533.207703,83.140244,,,,,,,,,,1069.505005,626.302002,170.220963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,850.874207,474.318420,85.140419,815.287415,524.002502,84.400650,1123.725342,610.588867,326.674255,933.215271,533.240173,84.700882,,,,,,,,,,1072.995117,626.387756,169.983505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,853.628723,474.681000,87.744652,819.461426,524.692566,88.348701,1125.873413,610.871704,326.526581,936.463806,533.326172,86.193130,,,,,,,,,,1076.406860,626.691162,170.210648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,856.573853,475.155853,90.189194,823.527222,525.315247,91.843582,1128.130981,611.070618,326.121704,,,,,,,,,,,,,1079.136230,627.531372,170.151962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,859.343567,475.153870,92.891525,828.010437,526.625854,95.043724,1129.615723,611.532654,325.654907,,,,,,,,,,,,,1082.377319,628.055237,170.342056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,861.996216,475.814941,95.145653,832.177429,528.476135,98.467636,1131.623657,611.978638,325.455048,,,,,,,,,,,,,1084.963257,628.619263,171.087479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,864.737488,477.232941,97.958748,835.879089,530.335632,102.402031,1134.333374,612.045227,325.335327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,867.614929,477.864258,101.199402,839.411072,532.393311,106.280251,1135.563110,612.603821,324.958099,,,,,,,,,,,,,,,,948.884888,537.751648,92.342995,1091.567627,629.768433,170.979202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,870.067200,479.047729,103.944290,842.952332,535.012634,110.100754,1137.837158,612.678345,324.533661,,,,,,,,,,,,,,,,,,,1095.925293,629.536926,171.126053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,872.441711,480.491882,106.850456,845.848022,537.932007,113.886040,1139.836304,612.778992,325.130981,,,,,,,,,,,,,,,,,,,1098.880981,630.246216,171.186310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
