;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
44;865.178833;481.432098;79.801254;;;;;;;953.112610;532.435059;79.734734;1119.013794;602.519592;325.368469;;;;1084.228271;625.831177;171.030228;830.640625;530.414612;85.951050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;866.672241;482.139313;81.022720;;;;;;;954.924683;532.915283;80.231995;1120.106079;603.515015;325.257233;;;;1087.167969;625.779968;170.933594;832.837891;532.178040;88.772697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;868.994019;482.794037;82.467224;;;;;;;956.858765;533.307861;81.404701;1121.809448;604.022949;324.833221;;;;1089.151489;626.558350;171.162369;835.528687;534.043579;91.547035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;870.579712;484.096069;83.787315;;;;;;;958.551880;534.372314;82.912888;;;;;;;1091.128174;627.281006;171.650665;837.995605;535.979553;93.908226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;872.050903;485.195129;86.174767;;;;;;;;;;;;;;;;1094.251221;627.762146;171.694199;840.497437;538.327148;96.611397;1125.240234;604.613708;323.688324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;873.584839;486.928467;86.644043;;;;;;;;;;;;;;;;1096.414307;628.429993;171.013199;843.005493;540.874939;99.258347;1126.251221;604.938843;323.724731;962.301453;535.951904;83.604492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;874.816284;488.990784;88.295937;;;;;;;;;;;;;;;;1099.207275;628.631104;171.057480;845.241577;543.317505;102.440575;1127.505859;605.106812;323.991089;964.567139;536.061829;85.918793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;876.367371;490.497711;90.478996;;;;;;;;;;;;;;;;1101.314819;629.283936;171.205521;847.715393;546.293640;105.375618;;;;965.680847;537.119446;86.782143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;877.981934;492.758789;91.456200;;;;;;;;;;;;;;;;1102.951294;629.912903;171.565796;850.087646;549.592407;108.656624;;;;967.432922;538.860474;87.542183;1131.566528;605.962524;322.512756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;879.464417;494.369720;92.705925;;;;;;;;;;;;;;;;;;;852.232849;553.092468;111.886795;;;;969.295837;540.221924;87.962326;1132.253296;607.020264;322.615479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
